
Aspect ratio at max_mode 1: 3.5110982166058085
Mean iota at 1: -0.18276397680066928
Quasisymmetry objective at max_mode 1: 0.02073411065522524
Magnetic well at max_mode 1: -0.06064328046198125
Mercier objective at max_mode 1: 0.0
Total beta at at max_mode 1: 0.0
Squared flux at max_mode 1: 0.026957816732874913
fun_coils#36 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=1.1e-02, B·n max=3.8e-02, ║∇J coils║=9.8e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=2.3e-06, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.9e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.3], mean squared curvature=[0.9, 10.9], coils dofs=0.4301096559036975, 1.6943031344294295, 2.1041484747292054e-17, -0.007271408947248443, 1.0769558655161284, 2.192840129208204e-18
fun_coils#37 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=1.1e-02, B·n max=3.8e-02, ║∇J coils║=2.0e-02, C-C-Sep=0.25 J_CC=0.0e+00, J_CURVATURE=1.3e-05, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=6.4e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.8], mean squared curvature=[0.9, 10.8], coils dofs=0.4312870217289838, 1.6940073197443, 2.2468873988033947e-17, -0.007619074656207266, 1.0767915108877848, 2.3077548859297915e-18
fun_coils#38 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=1.1e-02, B·n max=3.9e-02, ║∇J coils║=2.0e-02, C-C-Sep=0.25 J_CC=0.0e+00, J_CURVATURE=1.1e-05, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=9.9e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.8], mean squared curvature=[0.9, 10.7], coils dofs=0.4328180020173944, 1.693620129906356, 2.39476975063733e-17, -0.007958491126686328, 1.076580280429056, 2.376464871746276e-18
fun_coils#39 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=1.1e-02, B·n max=4.2e-02, ║∇J coils║=1.6e-02, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=6.3e-07, J_MSC=0.0e+00, J_ALS=1.5e-09, J_LENGTH_PENALTY=1.8e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.2], mean squared curvature=[0.9, 10.3], coils dofs=0.4397999290747745, 1.6918435939659346, 3.053639978488526e-17, -0.009505967986380067, 1.0755991677211727, 2.845544024954963e-18
fun_coils#40 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=1.1e-02, B·n max=4.1e-02, ║∇J coils║=9.0e-03, C-C-Sep=0.22 J_CC=0.0e+00, J_CURVATURE=9.3e-08, J_MSC=0.0e+00, J_ALS=1.5e-09, J_LENGTH_PENALTY=5.5e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 11.1], mean squared curvature=[0.9, 10.2], coils dofs=0.44130790647631546, 1.6914556486013106, 3.2033522652867864e-17, -0.009833803642221894, 1.0753762990715443, 2.932533876802164e-18
fun_coils#41 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=1.0e-02, B·n max=3.9e-02, ║∇J coils║=7.4e-03, C-C-Sep=0.22 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-09, J_LENGTH_PENALTY=2.0e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.9], mean squared curvature=[0.9, 9.9], coils dofs=0.44326861390629596, 1.690951607909529, 3.482132832047737e-17, -0.010501712067107857, 1.0750681290544237, 3.180927201897581e-18
fun_coils#42 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=1.0e-02, B·n max=3.9e-02, ║∇J coils║=9.8e-03, C-C-Sep=0.21 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-09, J_LENGTH_PENALTY=1.5e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.8], mean squared curvature=[0.9, 9.6], coils dofs=0.44495379000890845, 1.6905183653324647, 3.73423133140965e-17, -0.011111771909813278, 1.0747940545623036, 3.374495354907104e-18
fun_coils#43 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=1.0e-02, B·n max=4.2e-02, ║∇J coils║=2.7e-02, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-09, J_LENGTH_PENALTY=9.0e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 10.1], mean squared curvature=[0.9, 8.9], coils dofs=0.4510366583032422, 1.6889571167081674, 4.548303269741277e-17, -0.013093122272413762, 1.07382077160671, 3.938809136090168e-18
fun_coils#44 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=1.0e-02, B·n max=4.1e-02, ║∇J coils║=3.5e-02, C-C-Sep=0.19 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-09, J_LENGTH_PENALTY=3.0e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.3], mean squared curvature=[0.9, 8.7], coils dofs=0.4556297187000954, 1.6877785086769497, 5.0974812507708824e-17, -0.014406562637260492, 1.0730938193839203, 4.236376991570531e-18
fun_coils#45 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=1.0e-02, B·n max=4.0e-02, ║∇J coils║=2.0e-02, C-C-Sep=0.19 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-09, J_LENGTH_PENALTY=1.7e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 9.7], mean squared curvature=[0.9, 8.8], coils dofs=0.4534078342048072, 1.6883486581381628, 4.831817415381442e-17, -0.013771188283346478, 1.0734454811808647, 4.0924290903321845e-18
