index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
32,33,0.06050553628796961,7.535362221094503e-07,10.55915867131431,2.24541949695341e-10,0.0,0.0,0.0,9.780419166183305e-09,12.353263792467857,14.169061507248713,0.002220956061035561,0.0003155279445005694,0.14954489697290524,0.020412447513257267,3.1342399236812384e-05,0.0,0.0016026056210778354,
33,34,0.06026791534728479,7.47417592418619e-07,10.559517803569552,3.439668504577508e-10,0.0,0.0,0.0,9.7769694014128e-09,12.336806570655401,14.172648365394595,0.0022158743121150843,0.0003229155260796645,0.14944063969938098,0.02044653095618014,3.5878032550960385e-05,0.0,0.0015856776320704834,
34,35,0.06029132548048349,7.439032542830853e-07,10.560045913024677,4.1922035468630194e-10,0.0,0.0,2.746140582496202e-09,9.772089053782036e-09,12.30831453459995,14.178919026643843,0.0022127204668081655,0.0016703872402134272,0.1493730253219308,0.020489278233054038,4.263634107624757e-05,0.0,0.0015336486229644457,
35,36,0.06013637447454496,7.438874781738066e-07,10.559776533766147,3.7812653813698723e-10,0.0,0.0,3.262155523682935e-10,9.774570760499375e-09,12.322723076887439,14.175546719937993,0.0022122983143257743,0.0006578694491136003,0.1494073785787991,0.020466796246255144,3.912938696491689e-05,0.0,0.0015599648074000353,
36,37,0.059963666769080076,7.379124287436063e-07,10.560118439699151,4.48959307220488e-10,0.0,0.0,2.2220420042984723e-09,9.771475507106381e-09,12.305685171649843,14.179164771005068,0.0022050577121790543,0.0015105002750422738,0.1493620879114766,0.020510835200109497,4.366463370425573e-05,0.0,0.001498439953816307,
37,38,0.05970888830578928,7.315869161190317e-07,10.560603037128116,6.479051405674504e-10,0.0,0.0,2.518885188544779e-09,9.767365597958993e-09,12.306643381948362,14.18278083300423,0.0021932520212029857,0.0016009105984765017,0.1492873778693203,0.020580498616719328,5.0946054459747465e-05,0.0,0.001392875542167521,
38,39,0.059329814404967283,7.233345106868591e-07,10.56131390421826,1.030055969683539e-09,0.0,0.0,1.262955770809384e-09,9.761386325255786e-09,12.329342139013661,14.187592496214634,0.002180069539251084,0.0011583295371882319,0.14915621480397856,0.02069585726470578,6.318881777911426e-05,0.0,0.0012326235248399933,
39,40,0.059292855132161267,7.201283483992592e-07,10.562151133268777,7.988843341762718e-10,0.0,0.0,6.204320101516247e-10,9.753012890908725e-09,12.395443839306385,14.196481644118382,0.0021925394704816713,0.0008626344919829709,0.14921515977406694,0.02089166175733068,8.112663174732613e-05,0.0,0.0010248931756326428,
40,41,0.05913415394849679,7.187484554204951e-07,10.561749974721078,9.04117258429171e-10,0.0,0.0,4.6079572588652496e-10,9.756998569359166e-09,12.364120720087163,14.191861685613166,0.002182009205789165,0.0007571552090818639,0.14918708825231594,0.020795794955602943,7.234944176896006e-05,0.0,0.0011213462264959121,
41,42,0.058853305484857406,7.107384265940442e-07,10.562116259460801,9.413017783379647e-10,0.0,0.0,9.657263755462442e-10,9.75278431328162e-09,12.399979113236611,14.19742829049564,0.002163471437967474,0.0010342900669957984,0.14915104366602946,0.020899683887963122,8.07751327442355e-05,0.0,0.001025958316391566,
42,43,0.059187116277338,7.088343039445813e-07,10.562483400642918,4.3699145655838323e-10,0.0,0.0,5.979455456250693e-09,9.747561775432727e-09,12.432371565926152,14.209475794890484,0.0021646857104490975,0.002428143279941591,0.14927555682797614,0.020974330068169827,7.942046664862933e-05,0.0,0.0011686659110403785,
43,44,0.05874436832643786,7.068123711247219e-07,10.562236026288058,7.235651446628844e-10,0.0,0.0,1.6196251558663186e-09,9.751044264854209e-09,12.410834512447115,14.201159462217571,0.002158393746609693,0.001303485242201592,0.14919252892021553,0.020922728247029638,8.035771696686792e-05,0.0,0.0010727326252343884,
44,45,0.0586021459838996,7.016257562092786e-07,10.56237731107653,5.701134804749133e-10,0.0,0.0,2.464299183794543e-09,9.74886422483435e-09,12.417706626134517,14.205748175830179,0.002149844551184486,0.0015871623370865102,0.14921699814302133,0.020937230825955618,7.85499902091791e-05,0.0,0.001158963600933032,
45,46,0.058353448441740514,6.94104565707769e-07,10.56266624727784,5.320896477814007e-10,0.0,0.0,1.8866767126056028e-09,9.745907775888916e-09,12.444349018519738,14.211724656782863,0.0021386202072261546,0.0013986412233660838,0.14920006811050626,0.020930179936830128,7.359089205598864e-05,0.0,0.0013738975921482603,
46,47,0.059041303874227194,6.850064381165422e-07,10.563507088084705,9.237249644604198e-10,1.5714580008835682e-08,1.4663035379051006e-09,1.9853048053773126e-09,9.742072783301297e-09,12.465139920848754,14.224513124363352,0.002122731792598498,0.0015780647409709219,0.14910237312487737,0.020949892797621536,7.092354852937005e-05,0.0,0.0016402543804908214,
47,48,0.058236500240634106,6.904446671858464e-07,10.5629072466885,6.167905125721677e-10,7.196245595551983e-11,0.0,1.6017445868935553e-09,9.744797521006256e-09,12.45043037611185,14.215257253980106,0.0021327909267342573,0.001302874932113585,0.14917147964948993,0.020935522798333727,7.280452014637319e-05,0.0,0.0014489341277229408,
48,49,0.05813627478223002,6.860473917186372e-07,10.562541712555754,7.693822187173382e-10,0.0,0.0,1.6925172439280698e-09,9.74097060990253e-09,12.45918896115243,14.220931895947636,0.002125179432986097,0.001343452321671622,0.14913720013088985,0.02095042898589644,7.179792083129844e-05,0.0,0.0015553534984613928,
49,50,0.05826722883603119,6.826952428550361e-07,10.562810288817062,8.13293660511982e-10,0.0,5.116094734682549e-09,2.185823503734962e-09,9.739562764792762e-09,12.482449164914113,14.226864837588998,0.002117538138869377,0.0015250856362544623,0.14913408503349934,0.021007434242487126,7.286335579243062e-05,0.0,0.0015036601596816678,
50,51,0.05808594389470104,6.846277925583996e-07,10.562630203484513,7.828059528584622e-10,0.0,1.745135013734944e-10,1.8164283927790237e-09,9.740503636447173e-09,12.466927140758706,14.222882005349913,0.0021222849498790967,0.0013898676973811452,0.14913611250355097,0.020969271959564478,7.215081181726462e-05,0.0,0.0015380616148710994,
51,52,0.05800668465509383,6.828945200007644e-07,10.562783525457219,8.453959662533167e-10,0.0,0.0,2.0669183298240425e-09,9.740206896017998e-09,12.464699253085735,14.224564378923414,0.002118506321954299,0.0014768459605290414,0.1491589087117459,0.02100253043157746,7.242817150505655e-05,0.0,0.001502520448823138,
52,53,0.057881671149450774,6.808333101576334e-07,10.563064109487524,7.709989501575333e-10,0.0,1.9589538064383204e-11,2.296984626588345e-09,9.740067823432963e-09,12.478761547783648,14.227815455525764,0.002113387559754984,0.0015515642821339777,0.14927820589385576,0.021067169439679925,7.252629909351739e-05,0.0,0.0014061911640419144,
53,54,0.05769454875420853,6.796099893882503e-07,10.563598443394577,2.8839379199812126e-10,0.0,3.4907653569858705e-12,1.8138033152575452e-09,9.741744890323461e-09,12.504418594252641,14.232049963028478,0.00211097778168189,0.0013945200923264397,0.14955810498554836,0.02114266092881783,6.657994474324986e-05,0.0,0.0013132172703991295,
54,55,0.057534477478771315,6.786731951471684e-07,10.564541758314565,7.833657606541031e-11,0.0,0.0,2.3103101188206644e-09,9.745958291685817e-09,12.538167243255021,14.239295083836197,0.002104492986516669,0.0015633378435797687,0.14975101055718518,0.021254682082535406,5.634292860421818e-05,0.0,0.0011759761035066499,
