index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
58,59,1.1611481912317365e-07,1.0592031154962188e-07,10.801733134267169,0.0,0.0,0.0,0.0,1.0194507573551773e-08,14.234544000312878,14.791690266533525,0.0009510357528594274,2.2870620124561238e-06,0.16360371602199886
59,60,1.1609801748103259e-07,1.0590229300402994e-07,10.801889034277467,0.0,0.0,0.0,0.0,1.019572447700265e-08,14.24133333680302,14.795181882503773,0.0009511785784233759,2.109193391130717e-06,0.16358509622097953
60,61,1.1608588044885243e-07,1.058891791840973e-07,10.802017304613102,0.0,0.0,0.0,0.0,1.0196701264755135e-08,14.248368318968325,14.798701912907397,0.0009511862881922259,1.845798195322209e-06,0.16357188723604082
61,62,1.1607437331226833e-07,1.0587674264468012e-07,10.802148468398943,0.0,0.0,0.0,0.0,1.019763066758822e-08,14.262807817609577,14.80442158765023,0.0009513350884412028,1.962065427617482e-06,0.1635606746388926
62,63,1.160582320962016e-07,1.0585945059976189e-07,10.8023128091904,0.0,0.0,0.0,0.0,1.0198781496439701e-08,14.282323151805276,14.812594826811445,0.0009513327490825209,2.5508042523884743e-06,0.1635507255058155
63,64,1.1602255918559913e-07,1.0582113620932522e-07,10.802680715416292,0.0,0.0,0.0,0.0,1.0201422976273906e-08,14.322540939504922,14.83074460536853,0.0009512923968178016,4.929062701043997e-06,0.16353499056049464
64,65,1.1597357674205427e-07,1.0576741392675491e-07,10.803207753283358,0.0,0.0,9.106773673773097e-13,0.0,1.0205252137931977e-08,14.37600891360272,14.857204914667719,0.0009508227859388354,1.0508206758402405e-05,0.16351896543113048
65,66,1.1600592457065216e-07,1.058034955957912e-07,10.802819130050917,0.0,0.0,0.0,0.0,1.020242897486096e-08,14.336550957972966,14.837671507475031,0.0009511587367030536,4.6171430826604795e-06,0.16353077468762786
66,67,1.2955564434549844e-07,1.0570678910554902e-07,10.803817070056565,0.0,0.0,1.3639116198625785e-08,0.0,1.0209739041323639e-08,14.429443891986224,14.887613925423093,0.0009502137655637316,0.0012134215800593021,0.1635093925573496
67,68,1.1598971802624907e-07,1.0578645601660791e-07,10.802932754542805,0.0,0.0,0.0,0.0,1.0203262009641152e-08,14.347077165397998,14.843316674526147,0.000951033022351262,4.821055248012362e-06,0.16352832989321156
68,69,1.1904899496265783e-07,1.0572346326797393e-07,10.803515684046832,0.0,0.0,3.1179988575935187e-09,0.0,1.020753283709037e-08,14.401283505667509,14.8724448775124,0.0009504643442531099,0.0005785040884590007,0.1635158288273963
69,70,1.1597515264803068e-07,1.0577106268189564e-07,10.803045711384947,0.0,0.0,0.0,0.0,1.0204089966135036e-08,14.357554307337164,14.848939190262668,0.0009509119492647256,5.059861986075908e-06,0.1635259020899264
70,71,1.5636108343484174e-07,1.0567960131166662e-07,10.804231284504148,0.0,0.0,4.0468820587839686e-08,0.0,1.0212661535335425e-08,14.46854569928535,14.911011420162424,0.0009496349209570701,0.0020989097927987493,0.16350318394693078
71,72,1.1597461847260948e-07,1.0577050314279308e-07,10.803049215397868,0.0,0.0,0.0,0.0,1.0204115329816397e-08,14.357880349746255,14.849120962201773,0.0009509071117563306,5.023217314417353e-06,0.16352583457204337
72,73,1.3013893467379875e-07,1.0568884661017534e-07,10.803828072300128,0.0,0.0,1.4240339430774455e-08,0.0,1.0209748632848971e-08,14.430644583160284,14.889772564313756,0.0009500029945401821,0.0012408033828300842,0.16351088210177922
73,74,1.1597369382102226e-07,1.0576953439126645e-07,10.80305530789876,0.0,0.0,0.0,0.0,1.0204159429755804e-08,14.358447274469704,14.84943703673548,0.0009508987817251539,4.959824655822159e-06,0.16352571718260261
74,75,1.2026791682833198e-07,1.057069848786966e-07,10.80356477136575,0.0,0.0,4.353086731500015e-09,0.0,1.0207845218135362e-08,14.40598033036486,14.875974636930293,0.0009502793613084937,0.0006844172852861218,0.16351592471825407
75,76,1.159688218072934e-07,1.0576442575291504e-07,10.803087999372954,0.0,0.0,0.0,0.0,1.0204396054378356e-08,14.361489916162464,14.851133563777262,0.000950854078497241,4.627272259986902e-06,0.1635250874032845
76,77,1.1702651876702489e-07,1.0572296752596524e-07,10.803402454944436,0.0,0.0,1.0968799157778113e-09,0.0,1.020667132528185e-08,14.390809062784681,14.867496747356032,0.0009504549592142475,0.00034297828716432023,0.16351903953118954
77,78,1.1596102066220579e-07,1.0575622942432337e-07,10.80314260174923,0.0,0.0,0.0,0.0,1.0204791237882414e-08,14.366574116404623,14.853969102413593,0.0009507801384904896,4.106536501226185e-06,0.16352403595847456
78,79,1.1617125156452866e-07,1.0573322156315388e-07,10.803314041252152,0.0,0.0,2.3199825586025838e-10,0.0,1.0206031745514532e-08,14.382555965850926,14.862887864128119,0.0009505620053876801,0.00015750622376024728,0.1635207381678165
79,80,1.1595536211992267e-07,1.0575026999406007e-07,10.803184179367076,0.0,0.0,0.0,0.0,1.0205092125862603e-08,14.370447454872648,14.856129886435586,0.000950725686806955,3.7481522169582584e-06,0.1635232356867096
80,81,1.540181754923166e-07,1.0565694861558427e-07,10.804248578710977,0.0,0.0,3.81483805150377e-08,0.0,1.021284636169463e-08,14.465790543351208,14.911424938299003,0.0009494587780055235,0.002037218676796465,0.1635082615413683
81,82,1.1595499947028698e-07,1.057498899052122e-07,10.803186570469155,0.0,0.0,0.0,0.0,1.0205109565074783e-08,14.370660534470618,14.856253061669594,0.0009507224896414068,3.7404271316584843e-06,0.16352320186433472
82,83,1.315082513415994e-07,1.0567175480944347e-07,10.80388641062898,0.0,0.0,1.562628661424006e-08,0.0,1.0210209917915876e-08,14.433238454636339,14.892506334642228,0.0009498669850737236,0.0012998722496607984,0.16351333826441825
83,84,1.159546046959831e-07,1.057494761044017e-07,10.80318917922028,0.0,0.0,0.0,0.0,1.02051285915814e-08,14.37089301515983,14.856387454238765,0.0009507190013397848,3.7320061812382093e-06,0.16352316496424618
84,85,1.221322959528713e-07,1.0569091214219226e-07,10.80364888282628,0.0,0.0,6.232904110003216e-09,0.0,1.0208479700675832e-08,14.41195161710202,14.88015684392423,0.0009501430426186795,0.0008192478320035437,0.16351667805110429
85,86,1.1595415350745173e-07,1.0574900311582675e-07,10.80319216827298,0.0,0.0,0.0,0.0,1.0205150391624974e-08,14.371159393890041,14.856541445323305,0.0009507150043683302,3.7223670510959495e-06,0.16352312268611569
86,87,1.1829872079181964e-07,1.0570753591902179e-07,10.8034933982087,0.0,0.0,2.3838382408900326e-09,0.0,1.020734663190782e-08,14.398043966758454,14.872097960888745,0.0009503255653515674,0.0005058989993692169,0.16351886867186108
87,88,1.1595359065917368e-07,1.0574841299012103e-07,10.803195908369155,0.0,0.0,0.0,0.0,1.0205177669052645e-08,14.371492715024969,14.856734139279208,0.0009507100028763097,3.7103201951563123e-06,0.16352306978682202
88,89,1.1678061709649313e-07,1.057201048729755e-07,10.803392165994094,0.0,0.0,8.539035079609355e-10,0.0,1.0206608715556686e-08,14.38900031001929,14.866861679720998,0.0009504498353835992,0.0003024254108015534,0.1635202968151062
89,90,1.1595275666817387e-07,1.0574753841135993e-07,10.8032014735439,0.0,0.0,0.0,0.0,1.0205218256813947e-08,14.371988711283295,14.85702088461949,0.0009507025603161148,3.6924242939919534e-06,0.16352299107770643
90,91,1.1621271189389541e-07,1.0572888545385997e-07,10.803327295333544,0.0,0.0,2.77690673332431e-10,0.0,1.0206135766703013e-08,14.38320970160211,14.863510638933903,0.0009505341470919262,0.00017226897313556556,0.16352121276740728
91,92,1.1595122309080257e-07,1.0574592966063527e-07,10.803211781084471,0.0,0.0,0.0,0.0,1.0205293430167302e-08,14.372907441362802,14.857552047361636,0.0009506887741280762,3.659372834801276e-06,0.1635228453085393
92,93,1.1602241921908964e-07,1.0573447969026383e-07,10.803288007556542,0.0,0.0,8.209022736072563e-11,0.0,1.0205849301465091e-08,14.379704488426297,14.861482820375727,0.000950586764022325,9.354717075180716e-05,0.16352176779578784
93,94,1.1594932902749416e-07,1.0574394176469422e-07,10.803224647449355,0.0,0.0,0.0,0.0,1.0205387262799951e-08,14.37405437252715,14.85821519263529,0.0009506715629124181,3.6182916356238114e-06,0.16352266337427201
94,95,1.1596724881084353e-07,1.0573763636451895e-07,10.80326646122849,0.0,0.0,2.3920259316730133e-11,0.0,1.0205692187007838e-08,14.377782713672325,14.860371256075936,0.0009506156088078156,5.044202313318643e-05,0.16352207228175844
95,96,1.1594789345938875e-07,1.0574243432770673e-07,10.80323450237772,0.0,0.0,0.0,0.0,1.0205459131682015e-08,14.374932955186834,14.858723217492411,0.0009506583780876833,3.5869600467959004e-06,0.16352252403897152
96,97,1.1595263843807557e-07,1.0573925229477124e-07,10.803255594229036,0.0,0.0,7.773200529865836e-12,0.0,1.0205612942774455e-08,14.376813608720125,14.859810777716767,0.0009506301537122735,2.8774718725824897e-05,0.1635222258764845
97,98,1.1594706143276612e-07,1.0574156034332415e-07,10.803240255878428,0.0,0.0,0.0,0.0,1.0205501089441978e-08,14.375445927677653,14.859019849284993,0.0009506506797345038,3.5687229242114715e-06,0.1635224426988419
98,99,1.1594877293091724e-07,1.05740033488997e-07,10.803250378961735,0.0,0.0,3.1645305279400567e-12,0.0,1.020557491139229e-08,14.376348554078268,14.859541828594756,0.0009506371333314073,1.8457389554409986e-05,0.1635222995954582
