Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    56,  4.6881e+01,  1.2167633280415184e-01, -5.4495096691565971e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    57,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649842872670057e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    58,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7957121086214128e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    59,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428612739921941e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    60,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0350486743793836e-02,  1.6362244441892862e-01, -6.6900465376084029e-03
    61,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362408064337280e-01, -6.6900465376084029e-03
    62,  4.6881e+01,  1.2167633280415184e-01, -5.4495641647982450e-02,  1.4649696375706300e-01, -5.7958121086214131e-03,  1.1428498454937391e-01,  7.0349783245961375e-02,  1.6362244441892862e-01, -6.6899465376084027e-03
    63,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    64,  5.3129e+01,  1.2179782754345402e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    65,  5.3129e+01,  1.2179660957735824e-01, -5.4891723368406628e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    66,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710431694061932e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    67,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4971436962405196e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    68,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530483690104890e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    69,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9605163318486804e-02,  1.6287422778215319e-01, -6.4245849188040126e-03
    70,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287585652443101e-01, -6.4245849188040126e-03
    71,  5.3129e+01,  1.2179660957735824e-01, -5.4892272291129536e-02,  1.4710284591216019e-01, -5.4972436962405198e-03,  1.1530368386421025e-01,  6.9604467273814072e-02,  1.6287422778215319e-01, -6.4244849188040123e-03
    72,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    73,  5.8640e+01,  1.2187413686055233e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    74,  5.8640e+01,  1.2187291813137102e-01, -5.4811219216139538e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    75,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697654140785796e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    76,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5544037144395746e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    77,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519780638023504e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    78,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9759109155945090e-02,  1.6303050721588394e-01, -6.4843832071639464e-03
    79,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303213752095611e-01, -6.4843832071639464e-03
    80,  5.8640e+01,  1.2187291813137102e-01, -5.4811767333812877e-02,  1.4697507165714138e-01, -5.5545037144395749e-03,  1.1519665441369090e-01,  6.9758411571829368e-02,  1.6303050721588394e-01, -6.4842832071639461e-03
    81,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    82,  6.4078e+01,  1.2181131169682508e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    83,  6.4078e+01,  1.2181009359588911e-01, -5.4900804378631901e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    84,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703422537393529e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    85,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5173990203516926e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    86,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520389585369482e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    87,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9743290600790805e-02,  1.6300599825405473e-01, -6.4432659811234170e-03
    88,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300762831403728e-01, -6.4432659811234170e-03
    89,  6.4078e+01,  1.2181009359588911e-01, -5.4901353392165821e-02,  1.4703275504638483e-01, -5.5174990203516929e-03,  1.1520274382625656e-01,  6.9742593174859063e-02,  1.6300599825405473e-01, -6.4431659811234167e-03
    90,  6.9513e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    91,  6.9513e+01,  1.2186702384841788e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    92,  6.9513e+01,  1.2186580519036598e-01, -5.4874441187897395e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    93,  6.9513e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701829649877884e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    94,  6.9513e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5221001826654360e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
