Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    71,  3.2680e+01,  1.0772950687280712e-01,  2.3642333057534194e-02,  1.6360734746519623e-01, -1.0935886272953914e-01, -1.3448754430125803e-01,  1.9828029142234031e-02,  2.3407657298410697e-01,  1.0103663103947953e-01
    72,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    73,  3.6037e+01,  1.0794167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    74,  3.6037e+01,  1.0793167699782273e-01,  2.3874929843556134e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    75,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6303200758620406e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    76,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0938902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    77,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3418873121719208e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    78,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0157439312123902e-02,  2.3513732977970259e-01,  1.0143188698918854e-01
    79,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3514732977970260e-01,  1.0143188698918854e-01
    80,  3.6037e+01,  1.0793167699782273e-01,  2.3864929843556135e-02,  1.6302200758620405e-01, -1.0939902340232910e-01, -1.3419873121719209e-01,  2.0147439312123903e-02,  2.3513732977970259e-01,  1.0144188698918853e-01
    81,  4.0330e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    82,  4.0331e+01,  1.0790567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    83,  4.0331e+01,  1.0789567714936761e-01,  2.3773390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    84,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6315158459701076e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    85,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0934222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    86,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3418490577576123e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    87,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0068152073856087e-02,  2.3495626098782590e-01,  1.0141794194478278e-01
    88,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3496626098782591e-01,  1.0141794194478278e-01
    89,  4.0331e+01,  1.0789567714936761e-01,  2.3763390357592756e-02,  1.6314158459701075e-01, -1.0935222347488835e-01, -1.3419490577576124e-01,  2.0058152073856087e-02,  2.3495626098782590e-01,  1.0142794194478277e-01
    90,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    91,  4.3690e+01,  1.0783166869200200e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    92,  4.3690e+01,  1.0782166869200201e-01,  2.3717153383005701e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    93,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6334612652926819e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    94,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0934076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    95,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3431156959719612e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    96,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9968353997661586e-02,  2.3459163652486242e-01,  1.0126137132363175e-01
    97,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3460163652486243e-01,  1.0126137132363175e-01
    98,  4.3690e+01,  1.0782166869200201e-01,  2.3707153383005702e-02,  1.6333612652926818e-01, -1.0935076666547436e-01, -1.3432156959719613e-01,  1.9958353997661587e-02,  2.3459163652486242e-01,  1.0127137132363175e-01
    99,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   100,  4.7053e+01,  1.0785153066120388e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   101,  4.7053e+01,  1.0784153066120389e-01,  2.3750423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   102,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6329316810283753e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   103,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0935380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   104,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3429975244072409e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   105,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  2.0003529109107982e-02,  2.3468131409562751e-01,  1.0128322129123694e-01
   106,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3469131409562752e-01,  1.0128322129123694e-01
   107,  4.7053e+01,  1.0784153066120389e-01,  2.3740423519372153e-02,  1.6328316810283752e-01, -1.0936380174864627e-01, -1.3430975244072410e-01,  1.9993529109107983e-02,  2.3468131409562751e-01,  1.0129322129123694e-01
   108,  5.1341e+01,  1.0784996912780510e-01,  2.3742900050830067e-02,  1.6326125166550695e-01, -1.0936125248114495e-01, -1.3429131026783864e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   109,  5.1341e+01,  1.0785996912780510e-01,  2.3742900050830067e-02,  1.6326125166550695e-01, -1.0936125248114495e-01, -1.3429131026783864e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   110,  5.1341e+01,  1.0784996912780510e-01,  2.3752900050830066e-02,  1.6326125166550695e-01, -1.0936125248114495e-01, -1.3429131026783864e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   111,  5.1341e+01,  1.0784996912780510e-01,  2.3742900050830067e-02,  1.6327125166550696e-01, -1.0936125248114495e-01, -1.3429131026783864e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   112,  5.1341e+01,  1.0784996912780510e-01,  2.3742900050830067e-02,  1.6326125166550695e-01, -1.0935125248114495e-01, -1.3429131026783864e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   113,  5.1341e+01,  1.0784996912780510e-01,  2.3742900050830067e-02,  1.6326125166550695e-01, -1.0936125248114495e-01, -1.3428131026783863e-01,  2.0003007163191398e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
   114,  5.1341e+01,  1.0784996912780510e-01,  2.3742900050830067e-02,  1.6326125166550695e-01, -1.0936125248114495e-01, -1.3429131026783864e-01,  2.0013007163191397e-02,  2.3472448052838304e-01,  1.0130533990663546e-01
