index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jmercier,Jaspect
51,52,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
52,53,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
53,54,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
54,55,100.0,41.1948744947646,10.75631180910122,8.74125055947476e-07,1.3063832445020045e-09,0.0,0.0,2.591754588694885e-07,16.404933693866603,26.21878721308495,0.3233779478468413,150.49508940705852,0.12669508863969575,0.0,0.0,0.0
55,56,100.0,10.25801082483539,10.756418015831372,8.693321213803786e-07,1.7681047609633164e-09,0.0,0.0,2.591958519184282e-07,16.409120301184338,26.22656510182115,0.4866748917458673,37.44180440856499,0.12670616743145321,0.0,0.0,0.0
56,57,100.0,1.8675005578382926,10.756479403747617,8.665950133036276e-07,2.0664605090809977e-09,0.0,0.0,2.592076864273343e-07,16.411537479885503,26.23106102924894,0.44982836955517896,4.372351134641536,0.12671256534778047,0.0,0.0,0.0
57,58,100.0,0.28792737811997643,10.756504745751856,8.654722525525822e-07,2.196335754401061e-09,0.0,4.2537415816153166e-10,2.592125819872645e-07,16.41253475878917,26.232917085382194,0.23429854283123458,1.2901603812274283,0.12671520531149386,0.0,0.0,0.0
58,59,100.0,0.0490221376861308,10.756515835096293,8.649822621751743e-07,2.2543991890929223e-09,0.0,1.0883418029211721e-09,2.5921472607138714e-07,16.412971050082763,26.23372928312564,0.10186905105641339,0.6409067610344851,0.1267163603049136,0.0,0.0,0.0
59,60,37.1477018333102,0.0066409276433182785,10.756520608770566,8.647715805699932e-07,2.279624727068937e-09,0.0,1.4710404117329036e-09,2.592156493900708e-07,16.41315884237111,26.234078915139666,0.037582960502143416,0.24282154577992043,0.12671685745799782,3.9328620146919553,24.328321964870167,0.004562912551379101
60,61,5.795550029114397,0.001029461061982628,10.756522405131584,8.646923382851706e-07,2.289153196001517e-09,0.0,1.6302186383240848e-09,2.592159968941418e-07,16.413229506607234,26.234210483986566,0.014771766052532801,0.09447300805257555,0.12671704453308383,0.6397094991807896,25.665668268427982,0.0028960814853958984
61,62,1.1359231415354154,0.00019621218830747166,10.756523072365768,8.646629101518523e-07,2.292697425110234e-09,0.0,1.691455666304543e-09,2.5921612597737786e-07,16.413255753460287,26.234259353512286,0.006410527384782557,0.039734813397738454,0.1267171140187121,0.14716657630051802,26.357406223209956,0.002056307751433874
62,63,0.31201149206425416,4.881963463571336e-05,10.75652335133247,8.646506072806593e-07,2.2941800505551983e-09,0.0,1.7173977191774202e-09,2.59216179947529e-07,16.4132667270469,26.234279785581663,0.0031915704284149926,0.016991993042933737,0.12671714307010157,0.060570650683748624,26.682798855009402,0.0017032763769494032
63,64,0.16223152539334992,2.1912076883836946e-05,10.756523469939305,8.646453766859556e-07,2.2948105543930384e-09,0.0,1.7284879662513514e-09,2.5921620289395503e-07,16.413271392617744,26.23428847258034,0.0020844357550423086,0.007350964700153905,0.1267171554217046,0.04547598057139983,26.81694692731632,0.0015557360122623524
64,65,0.13478964352176315,1.6927044770678043e-05,10.756523521020807,8.646431240055213e-07,2.2950821257205378e-09,0.0,1.73327544483939e-09,2.592162127765444e-07,16.41327340198012,26.2342922138908,0.0017767069267873635,0.003212317286068708,0.12671716074127934,0.04302207654412379,26.88127153351389,0.0014929046524860027
65,66,0.13014586654933102,1.606636108609632e-05,10.756523543122672,8.646421493244751e-07,2.295199633711256e-09,0.0,1.7353489621950221e-09,2.5921621705253526e-07,16.413274271387465,26.234293832675185,0.0017158127787811907,0.0014371165165001326,0.1267171630429439,0.042708745144685804,26.905065468573707,0.0014658713992988426
